x_gaze,y_gaze,validity_gaze,timestamp_us_gaze,unix_time_ms_gaze,left_pupil_diameter_millimeters,left_pupil_validity,right_pupil_diameter_millimeters,right_pupil_validity,left_eye_x_gaze,left_eye_y_gaze,left_eye_validity_gaze,right_eye_x_gaze,right_eye_y_gaze,right_eye_validity_gaze
818.4156703948975,558.8585257530212,valid,20074627601,1629991260735,3.2793121337890625,1,3.3922882080078125,1,844.1867637634277,552.4561142921448,1,792.6445770263672,565.2609372138977,1
825.4751014709473,569.7276198863983,valid,20074644256,1629991260753,3.3358917236328125,1,3.398040771484375,1,861.1275672912598,575.5630016326904,1,789.8226356506348,563.8922381401062,1
825.5115795135498,570.9324252605438,valid,20074660911,1629991260769,3.3453369140625,1,3.4103546142578125,1,857.6173210144043,575.474488735199,1,793.4058380126953,566.3903617858887,1
819.7442150115967,560.5448091030121,valid,20074677565,1629991260786,3.30523681640625,1,3.414642333984375,1,842.8656005859375,551.1880302429199,1,796.6228294372559,569.9015879631042,1
819.4253826141357,568.6423873901367,valid,20074694220,1629991260802,3.311859130859375,1,3.4207305908203125,1,844.2780876159668,553.0425524711609,1,794.5726776123047,584.2422223091125,1
817.3912525177002,569.0989530086517,valid,20074710875,1629991260819,3.312225341796875,1,3.4200897216796875,1,838.7056159973145,556.3022089004517,1,796.0768890380859,581.8956971168518,1
813.431339263916,566.4186859130859,valid,20074727529,1629991260835,3.31842041015625,1,3.4310760498046875,1,836.6445922851562,552.7461791038513,1,790.2180862426758,580.0911927223206,1
843.8039875030518,567.1387946605682,valid,20074744184,1629991260853,3.3287811279296875,1,3.4501953125,1,870.9985542297363,560.9058451652527,1,816.6094207763672,573.3717441558838,1
887.4652004241943,574.6402788162231,valid,20074760839,1629991260869,3.334625244140625,1,3.4475555419921875,1,908.1486511230469,575.2514362335205,1,866.7817497253418,574.0291213989258,1
888.8592338562012,574.863942861557,valid,20074777493,1629991260886,3.3347625732421875,1,3.46044921875,1,906.3699531555176,563.7628483772278,1,871.3485145568848,585.9650373458862,1
885.2758598327637,572.7677643299103,valid,20074794148,1629991260902,3.330780029296875,1,3.463470458984375,1,901.6436004638672,555.6920170783997,1,868.9081192016602,589.8435115814209,1
883.7967395782471,571.1933612823486,valid,20074810803,1629991260920,3.330780029296875,1,3.4532470703125,1,903.9424896240234,555.663628578186,1,863.6509895324707,586.7230939865112,1
881.4827728271484,576.5172028541565,valid,20074827458,1629991260936,3.3308258056640625,1,3.450103759765625,1,899.8639869689941,567.8710699081421,1,863.1015586853027,585.1633358001709,1
877.98903465271,576.5441429615021,valid,20074844112,1629991260953,3.3280487060546875,1,3.44732666015625,1,896.9288635253906,570.3785920143127,1,859.0492057800293,582.7096939086914,1
876.4513778686523,571.6270422935486,valid,20074860767,1629991260969,3.330169677734375,1,3.45166015625,1,898.6804389953613,562.9301190376282,1,854.2223167419434,580.323965549469,1
875.6584453582764,572.0726323127747,valid,20074877422,1629991260986,3.3353271484375,1,3.4508514404296875,1,895.6627464294434,561.6676354408264,1,855.6541442871094,582.4776291847229,1
873.1902122497559,566.9420063495636,valid,20074894076,1629991261003,3.323028564453125,1,3.441986083984375,1,892.0685005187988,552.187807559967,1,854.3119239807129,581.6962051391602,1
872.5566959381104,571.8925166130066,valid,20074910731,1629991261020,3.3154144287109375,1,3.4316253662109375,1,892.1709251403809,561.6351914405823,1,852.9424667358398,582.1498417854309,1
874.6365737915039,571.5465438365936,valid,20074927386,1629991261036,3.3157958984375,1,3.41888427734375,1,896.4508438110352,564.8769521713257,1,852.8223037719727,578.2161355018616,1
880.0260543823242,566.9317066669464,valid,20074944040,1629991261053,3.3011627197265625,1,3.4342041015625,1,898.2942581176758,548.2570624351501,1,861.7578506469727,585.6063508987427,1
879.9106121063232,569.5269048213959,valid,20074960695,1629991261068,3.295654296875,1,3.4193572998046875,1,893.126049041748,551.4755201339722,1,866.6951751708984,587.5782895088196,1
877.7984619140625,573.0670022964478,valid,20074977350,1629991261085,3.3026580810546875,1,3.4043426513671875,1,893.217887878418,561.2919545173645,1,862.379035949707,584.842050075531,1
874.6921634674072,572.4393010139465,valid,20074994004,1629991261102,3.2951202392578125,1,3.3981475830078125,1,891.4410209655762,565.421998500824,1,857.9433059692383,579.4566035270691,1
874.2932510375977,569.5288360118866,valid,20075010659,1629991261119,3.2787322998046875,1,3.3800811767578125,1,889.5255088806152,565.9676241874695,1,859.0609931945801,573.0900478363037,1
878.6747646331787,573.4545922279358,valid,20075027314,1629991261135,3.2720184326171875,1,3.36602783203125,1,892.4648666381836,562.6797080039978,1,864.8846626281738,584.2294764518738,1
878.2518482208252,570.540554523468,valid,20075043968,1629991261152,3.2676239013671875,1,3.3610382080078125,1,892.5272941589355,558.9910697937012,1,863.9764022827148,582.0900392532349,1
880.6751346588135,571.6470301151276,valid,20075060623,1629991261168,3.2640838623046875,1,3.35302734375,1,900.5980110168457,565.1358604431152,1,860.7522583007812,578.1581997871399,1
881.0205745697021,573.8585329055786,valid,20075077278,1629991261186,3.2616729736328125,1,3.35467529296875,1,899.7977828979492,566.2268543243408,1,862.2433662414551,581.4902114868164,1
879.6059131622314,570.2073276042938,valid,20075093933,1629991261202,3.25189208984375,1,3.350433349609375,1,892.9532432556152,554.101939201355,1,866.2585830688477,586.3127160072327,1
877.3349761962891,562.8690612316132,valid,20075110587,1629991261219,3.2441558837890625,1,3.345550537109375,1,890.0782585144043,545.4861903190613,1,864.5916938781738,580.251932144165,1
880.0807285308838,563.4881365299225,valid,20075127242,1629991261235,3.234405517578125,1,3.34173583984375,1,890.8749389648438,554.2346119880676,1,869.2865180969238,572.7416610717773,1
881.997013092041,565.7719624042511,valid,20075143897,1629991261252,3.2239837646484375,1,3.3320770263671875,1,892.2758102416992,558.0628108978271,1,871.7182159423828,573.481113910675,1
905.5965042114258,567.0440053939819,valid,20075160551,1629991261269,3.217437744140625,1,3.3273773193359375,1,909.2952919006348,557.275013923645,1,901.8977165222168,576.8129968643188,1
933.7033653259277,571.177396774292,valid,20075177206,1629991261286,3.222015380859375,1,3.3411712646484375,1,938.9896774291992,556.8693995475769,1,928.4170532226562,585.4853940010071,1
943.2555484771729,569.0255999565125,valid,20075193861,1629991261302,3.2293853759765625,1,3.3379669189453125,1,953.8339805603027,548.8711166381836,1,932.677116394043,589.1800832748413,1
940.7659435272217,560.4804199934006,valid,20075210515,1629991261319,3.227203369140625,1,3.321380615234375,1,953.9657020568848,539.9796903133392,1,927.5661849975586,580.9811496734619,1
942.9360580444336,560.7445907592773,valid,20075227170,1629991261335,3.2185821533203125,1,3.3108978271484375,1,955.7599067687988,547.9716324806213,1,930.1122093200684,573.5175490379333,1
942.4649620056152,561.1095213890076,valid,20075243825,1629991261353,3.2168426513671875,1,3.3008575439453125,1,957.3101234436035,553.0710697174072,1,927.619800567627,569.1479730606079,1
942.1289920806885,562.0442497730255,valid,20075260479,1629991261369,3.2154693603515625,1,3.30224609375,1,954.6555519104004,550.1760864257812,1,929.6024322509766,573.9124131202698,1
943.8907527923584,563.4500277042389,valid,20075277134,1629991261386,3.2006378173828125,1,3.309814453125,1,954.6880531311035,548.7451386451721,1,933.0934524536133,578.1549167633057,1
942.8217887878418,559.5535612106323,valid,20075293789,1629991261402,3.1867218017578125,1,3.3093719482421875,1,954.847583770752,545.5774712562561,1,930.7959938049316,573.5296511650085,1
942.3056602478027,557.2147285938263,valid,20075310443,1629991261419,3.1938934326171875,1,3.2966461181640625,1,958.5815048217773,546.9210648536682,1,926.0298156738281,567.5083923339844,1
939.4840621948242,555.1428186893463,valid,20075327098,1629991261435,3.2003173828125,1,3.2991180419921875,1,956.1396217346191,545.5245566368103,1,922.8285026550293,564.7610807418823,1
941.6224479675293,555.0984334945679,valid,20075343753,1629991261452,3.201141357421875,1,3.306732177734375,1,957.1980857849121,541.2410473823547,1,926.0468101501465,568.955819606781,1
